eredivisie yellow and red cards,,,,,
,,,,,
RK,TEAM,P,YC,RC,PTS
1,Vitesse,34,55,5,70
2,FC Emmen,34,48,5,63
3,ADO Den Haag,34,57,2,63
4,VVV-Venlo,34,45,5,60
5,FC Groningen,35,50,3,59
6,FC Twente,34,48,3,57
7,Feyenoord Rotterdam,36,45,4,57
8,Willem II,34,44,4,56
9,PEC Zwolle,34,40,5,55
10,Sparta Rotterdam,35,43,4,55
11,AZ Alkmaar,34,34,7,55
12,Heerenveen,34,39,5,54
13,Heracles Almelo,34,46,2,52
14,Fortuna Sittard,34,45,2,51
15,FC Utrecht,36,46,1,49
16,Ajax Amsterdam,34,35,4,47
17,RKC Waalwijk,34,34,2,40
18,PSV Eindhoven,34,40,0,40
