"Team","TG","YF","YA","O3.5","U3.5","O4.5","U4.5","O5.5","U5.5"
"Chelsea","27","3.15","2.63","100","0","67","33","48","52"
"Sheff Utd","28","2.93","1.54","64","36","50","50","21","79"
"Aston Villa","29","2.55","2.45","76","24","66","34","45","55"
"Brighton","28","2.46","2.82","86","14","57","43","36","64"
"Wolverhampton","28","2.46","2.36","75","25","57","43","32","68"
"West Ham","29","2.41","1.62","62","38","41","59","21","79"
"Fulham","29","2.38","1.69","55","45","41","59","24","76"
"Brentford","29","2.38","2.07","66","34","52","48","28","72"
"Nottm Forest","29","2.34","2.24","66","34","52","48","31","69"
"Man Utd","28","2.32","2.25","71","29","50","50","25","75"
"Tottenham","28","2.29","2.82","75","25","61","39","32","68"
"Newcastle","28","2.07","2.57","64","36","43","57","32","68"
"Burnley","29","2.07","2.38","69","31","48","52","34","66"
"Bournemouth","28","2.04","2.32","68","32","43","57","25","75"
"Everton","28","2.04","1.57","43","57","32","68","14","86"
"Crystal Palace","28","1.93","1.96","64","36","39","61","14","86"
"Luton","29","1.90","1.90","52","48","34","66","10","90"
"Liverpool","28","1.86","2.71","57","43","43","57","29","71"
"Man City","28","1.68","2.68","64","36","43","57","32","68"
"Arsenal","28","1.54","2.25","54","46","43","57","25","75"
